Title,Genre,Description
A Beautiful Mind,Sci-Fi,A thrilling journey filled with action and suspense.
The Truman Show,Mystery,A sci-fi tale exploring the mysteries of the universe.
Saving Private Ryan,Thriller,An intense drama about friendship and betrayal.
Schindler's List,Sci-Fi,A horror story that keeps you on the edge of your seat.
The Pianist,Fantasy,A thrilling journey filled with action and suspense.
Whiplash,Fantasy,A thrilling journey filled with action and suspense.
La La Land,Horror,A sci-fi tale exploring the mysteries of the universe.
The Greatest Showman,Action,A detective unravels a complex mystery in a small town.
Bohemian Rhapsody,Thriller,A group of heroes fights against a powerful villain.
Rocketman,Sci-Fi,A sci-fi tale exploring the mysteries of the universe.
Les Misérables,Comedy,A group of heroes fights against a powerful villain.
The Lion King,Action,A comedy that guarantees laughter and joy.
Frozen,Comedy,An intense drama about friendship and betrayal.
Toy Story,Sci-Fi,A heartwarming love story set in a beautiful city.
Coco,Romance,A heartwarming love story set in a beautiful city.
Inside Out,Drama,A detective unravels a complex mystery in a small town.
Finding Nemo,Drama,An intense drama about friendship and betrayal.
Ratatouille,Thriller,A detective unravels a complex mystery in a small town.
Up,Mystery,A horror story that keeps you on the edge of your seat.
WALL-E,Action,A detective unravels a complex mystery in a small town.
"Monsters, Inc.",Mystery,A group of heroes fights against a powerful villain.
Shrek,Romance,An epic adventure with unexpected twists.
How to Train Your Dragon,Mystery,A comedy that guarantees laughter and joy.
The Incredibles,Fantasy,A fantasy world where magic and reality collide.
Kung Fu Panda,Drama,A sci-fi tale exploring the mysteries of the universe.
Zootopia,Thriller,A fantasy world where magic and reality collide.
Big Hero 6,Thriller,A comedy that guarantees laughter and joy.
Moana,Romance,A fantasy world where magic and reality collide.
Encanto,Mystery,A group of heroes fights against a powerful villain.
Luca,Romance,A horror story that keeps you on the edge of your seat.
Soul,Adventure,A thrilling journey filled with action and suspense.
The Nightmare Before Christmas,Adventure,A detective unravels a complex mystery in a small town.
Coraline,Action,A horror story that keeps you on the edge of your seat.
The Lego Movie,Action,A group of heroes fights against a powerful villain.
The Peanuts Movie,Comedy,A fantasy world where magic and reality collide.
Paddington,Romance,A horror story that keeps you on the edge of your seat.
Harry Potter and the Sorcerer’s Stone,Drama,A group of heroes fights against a powerful villain.
Harry Potter and the Chamber of Secrets,Adventure,An epic adventure with unexpected twists.
Harry Potter and the Prisoner of Azkaban,Mystery,A detective unravels a complex mystery in a small town.
Harry Potter and the Goblet of Fire,Thriller,A sci-fi tale exploring the mysteries of the universe.
Harry Potter and the Order of the Phoenix,Thriller,A detective unravels a complex mystery in a small town.
Harry Potter and the Half-Blood Prince,Drama,A comedy that guarantees laughter and joy.
Harry Potter and the Deathly Hallows: Part 1,Mystery,A thrilling journey filled with action and suspense.
Harry Potter and the Deathly Hallows: Part 2,Action,An epic adventure with unexpected twists.
Fantastic Beasts and Where to Find Them,Sci-Fi,A heartwarming love story set in a beautiful city.
The Hobbit: An Unexpected Journey,Fantasy,A thrilling journey filled with action and suspense.
The Hobbit: The Desolation of Smaug,Thriller,A detective unravels a complex mystery in a small town.
The Hobbit: The Battle of the Five Armies,Comedy,A detective unravels a complex mystery in a small town.
The Lord of the Rings: The Fellowship of the Ring,Sci-Fi,A horror story that keeps you on the edge of your seat.
The Lord of the Rings: The Two Towers,Romance,A detective unravels a complex mystery in a small town.
The Lord of the Rings: The Return of the King,Romance,An epic adventure with unexpected twists.
Star Wars: A New Hope,Thriller,An epic adventure with unexpected twists.
Star Wars: The Empire Strikes Back,Fantasy,A thrilling journey filled with action and suspense.
Star Wars: Return of the Jedi,Horror,A fantasy world where magic and reality collide.
Star Wars: The Force Awakens,Sci-Fi,A sci-fi tale exploring the mysteries of the universe.
Star Wars: The Last Jedi,Comedy,A fantasy world where magic and reality collide.
Star Wars: The Rise of Skywalker,Fantasy,A group of heroes fights against a powerful villain.
The Mandalorian,Drama,A group of heroes fights against a powerful villain.
Obi-Wan Kenobi,Fantasy,A horror story that keeps you on the edge of your seat.
The Book of Boba Fett,Comedy,A sci-fi tale exploring the mysteries of the universe.
Rogue One: A Star Wars Story,Thriller,A fantasy world where magic and reality collide.
Solo: A Star Wars Story,Comedy,An intense drama about friendship and betrayal.
Jurassic Park,Horror,A detective unravels a complex mystery in a small town.
Jurassic World,Comedy,A fantasy world where magic and reality collide.
Jurassic World: Fallen Kingdom,Comedy,A group of heroes fights against a powerful villain.
Jurassic World Dominion,Adventure,A fantasy world where magic and reality collide.
The Hunger Games,Comedy,A comedy that guarantees laughter and joy.
The Hunger Games: Catching Fire,Adventure,An intense drama about friendship and betrayal.
The Hunger Games: Mockingjay - Part 1,Comedy,A heartwarming love story set in a beautiful city.
The Hunger Games: Mockingjay - Part 2,Mystery,A horror story that keeps you on the edge of your seat.
Divergent,Fantasy,A heartwarming love story set in a beautiful city.
Insurgent,Thriller,A heartwarming love story set in a beautiful city.
Allegiant,Fantasy,A fantasy world where magic and reality collide.
Maze Runner,Drama,A thrilling journey filled with action and suspense.
Maze Runner: The Scorch Trials,Sci-Fi,A detective unravels a complex mystery in a small town.
Maze Runner: The Death Cure,Action,A comedy that guarantees laughter and joy.
Percy Jackson & The Olympians: The Lightning Thief,Romance,A heartwarming love story set in a beautiful city.
Percy Jackson: Sea of Monsters,Adventure,A detective unravels a complex mystery in a small town.
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Comedy,A heartwarming love story set in a beautiful city.
The Chronicles of Narnia: Prince Caspian,Adventure,A sci-fi tale exploring the mysteries of the universe.
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,A sci-fi tale exploring the mysteries of the universe.
The Twilight Saga: Twilight,Romance,An intense drama about friendship and betrayal.
The Twilight Saga: New Moon,Drama,A fantasy world where magic and reality collide.
The Twilight Saga: Eclipse,Mystery,A horror story that keeps you on the edge of your seat.
The Twilight Saga: Breaking Dawn - Part 1,Thriller,An epic adventure with unexpected twists.
The Twilight Saga: Breaking Dawn - Part 2,Horror,An epic adventure with unexpected twists.
A Star is Born,Thriller,An epic adventure with unexpected twists.
The Fault in Our Stars,Thriller,A sci-fi tale exploring the mysteries of the universe.
Me Before You,Adventure,A heartwarming love story set in a beautiful city.
"Love, Simon",Horror,A detective unravels a complex mystery in a small town.
Crazy Rich Asians,Drama,An intense drama about friendship and betrayal.
To All the Boys I’ve Loved Before,Horror,A detective unravels a complex mystery in a small town.
The Kissing Booth,Comedy,A horror story that keeps you on the edge of your seat.
After,Adventure,A detective unravels a complex mystery in a small town.
Five Feet Apart,Horror,A horror story that keeps you on the edge of your seat.
The Perks of Being a Wallflower,Mystery,An epic adventure with unexpected twists.
The Notebook,Thriller,A sci-fi tale exploring the mysteries of the universe.
Dear John,Sci-Fi,A heartwarming love story set in a beautiful city.
Safe Haven,Drama,A heartwarming love story set in a beautiful city.
P.S. I Love You,Thriller,A fantasy world where magic and reality collide.
The Vow,Drama,A detective unravels a complex mystery in a small town.
A Walk to Remember,Thriller,A heartwarming love story set in a beautiful city.
If I Stay,Romance,A sci-fi tale exploring the mysteries of the universe.
The Last Song,Horror,A thrilling journey filled with action and suspense.
Midnight Sun,Thriller,A sci-fi tale exploring the mysteries of the universe.
The Spectacular Now,Mystery,A heartwarming love story set in a beautiful city.
500 Days of Summer,Fantasy,A group of heroes fights against a powerful villain.
Begin Again,Adventure,An intense drama about friendship and betrayal.
Her,Adventure,An intense drama about friendship and betrayal.
Eternal Sunshine of the Spotless Mind,Action,A fantasy world where magic and reality collide.
The Shape of Water,Comedy,An epic adventure with unexpected twists.
Everything Everywhere All at Once,Romance,A detective unravels a complex mystery in a small town.
The Banshees of Inisherin,Fantasy,A heartwarming love story set in a beautiful city.
The Fabelmans,Adventure,A thrilling journey filled with action and suspense.
Nope,Thriller,A horror story that keeps you on the edge of your seat.
Knives Out,Action,A horror story that keeps you on the edge of your seat.
Glass Onion: A Knives Out Mystery,Drama,A thrilling journey filled with action and suspense.
Ready Player One,Fantasy,A sci-fi tale exploring the mysteries of the universe.
Blade Runner 2049,Romance,A fantasy world where magic and reality collide.
Ghostbusters: Afterlife,Romance,A horror story that keeps you on the edge of your seat.
The Suicide Squad,Mystery,A fantasy world where magic and reality collide.
The Conjuring 2,Horror,A detective unravels a complex mystery in a small town.
Annabelle,Mystery,A sci-fi tale exploring the mysteries of the universe.
The Nun,Action,A fantasy world where magic and reality collide.
Insidious,Sci-Fi,A fantasy world where magic and reality collide.
Paranormal Activity,Horror,A horror story that keeps you on the edge of your seat.
Sinister,Horror,A horror story that keeps you on the edge of your seat.
The Ring,Sci-Fi,A thrilling journey filled with action and suspense.
The Grudge,Fantasy,A group of heroes fights against a powerful villain.
The Blair Witch Project,Fantasy,A heartwarming love story set in a beautiful city.
Halloween,Romance,A horror story that keeps you on the edge of your seat.
A Nightmare on Elm Street,Adventure,A thrilling journey filled with action and suspense.
Friday the 13th,Adventure,An epic adventure with unexpected twists.
Scream,Comedy,An intense drama about friendship and betrayal.
It Follows,Action,A sci-fi tale exploring the mysteries of the universe.
Hereditary,Horror,A detective unravels a complex mystery in a small town.
Midsommar,Mystery,A comedy that guarantees laughter and joy.
Us,Adventure,An epic adventure with unexpected twists.
Get Out,Horror,An epic adventure with unexpected twists.
Old,Horror,A thrilling journey filled with action and suspense.
Smile,Sci-Fi,A group of heroes fights against a powerful villain.
Barbarian,Mystery,A heartwarming love story set in a beautiful city.
Inception,Drama,A detective unravels a complex mystery in a small town.
The Dark Knight,Adventure,A comedy that guarantees laughter and joy.
Interstellar,Adventure,A comedy that guarantees laughter and joy.
Avengers: Endgame,Horror,A fantasy world where magic and reality collide.
Titanic,Comedy,A detective unravels a complex mystery in a small town.
The Conjuring,Romance,An epic adventure with unexpected twists.
A Quiet Place,Horror,A horror story that keeps you on the edge of your seat.
John Wick,Drama,A horror story that keeps you on the edge of your seat.
The Matrix,Sci-Fi,A detective unravels a complex mystery in a small town.
La La Land,Action,A horror story that keeps you on the edge of your seat.
Shutter Island,Action,A comedy that guarantees laughter and joy.
